"","S6_F_DMSO_REP1","S6_F_DMSO_REP2","S6_F_DMSO_REP3","S6_F_TDO2_REP1","S6_F_TDO2_REP2","S6_F_TDO2_REP3","WT_F_DMSO_REP1","WT_F_DMSO_REP2","WT_F_DMSO_REP3","WT_F_TDO2_REP1","WT_F_TDO2_REP2","WT_F_TDO2_REP3","gene_name"
"FBgn0000003",462866.957,391549.552,444239.326,558239.572,539980.5,372060.686,490438.85,602258.097,560945.449,594994.54,467332.802,369520.446,"7SLRNA:CR32864"
"FBgn0000008",2308.684,1682.821,2667.496,2287.047,2362.48,1786.446,1536.569,3434.19,1907.584,1671.72,1715.403,1530.401,"a"
"FBgn0000014",53.081,131.491,96.136,57.247,83.647,125.767,68.966,136.092,182.677,118.398,52.059,103.696,"abd-A"
"FBgn0000015",729.811,715.815,1146.175,713.817,827.152,810.475,809.886,844.677,1036.794,551.364,576.631,727.515,"Abd-B"
"FBgn0000017",5458.454,4849.032,6874.185,6880.048,6491.262,4973.146,3684.338,9950.155,4391.06,5208.849,3755.044,4208.084,"Abl"
"FBgn0000018",219.464,230,304.784,267.999,243.655,217.155,128.994,335.004,294.995,193.799,239.29,233.796,"abo"
"FBgn0000022",3,2,3.172,6.212,5,2,1.884,5.308,2.993,3,5.55,5,"ac"
"FBgn0000024",9869.433,8191.55,11879.421,12145.937,12070.923,9104.244,5747.696,19558.831,7645.888,8283.176,7229.536,8362.845,"Ace"
"FBgn0000028",353.387,309.205,520.001,484.104,524.209,353.156,231.171,735.104,316.186,443.435,307.037,340.643,"acj6"
"FBgn0000032",431.338,393.894,497,572.883,469.985,352,504.976,673.396,671,512.168,373.01,571.962,"Acph-1"
"FBgn0000036",2505.634,2107.763,3457.466,3336.723,3349.418,2987,1220.993,4056.206,1566.635,2443.884,1444.297,2069.258,"nAChRalpha1"
"FBgn0000037",2317.177,2250.051,3045.566,2868.977,2888.432,1956.907,1529.188,4911.431,2223.176,2376.932,1840.291,1972.385,"mAChR-A"
"FBgn0000038",2024.294,1784.978,2709.985,2613,2557.716,2129,1278.992,3409.8,1603.092,1954.742,1235.003,1571.743,"nAChRbeta1"
"FBgn0000039",551.973,624.737,716.026,711,646.966,587.124,436.982,1356.223,623.999,609.98,515.999,536.431,"nAChRalpha2"
"FBgn0000042",29360.683,46455.39,58455.825,38267.003,37392.744,28334.708,15476.749,40758.171,19308.444,21118.862,17239.334,18520.057,"Act5C"
"FBgn0000043",650.345,732.738,822.104,899.352,817.904,541.615,469.075,2281.378,667.131,554.54,679.184,651.553,"Act42A"
"FBgn0000044",9911.538,7371.179,12980.598,8018.102,9930.773,9473.621,10277.531,16840.024,10880.894,16532.469,11211.255,9306.426,"Act57B"
"FBgn0000045",718.756,690.781,877.26,712.44,740.111,480.257,737.635,1878.036,1100.6,948.664,697.812,824.472,"Act79B"
"FBgn0000046",1824.204,1520.696,2406.556,1847.833,2009.311,1636.031,1450.701,2473.343,1489.241,1756.295,2120.073,1309.291,"Act87E"
"FBgn0000047",179.458,219.128,290.045,210.869,256.283,162.676,208.959,303.074,273.16,310.42,180.549,204.026,"Act88F"
"FBgn0000052",9463.865,6852.127,9894.735,7058.341,7320.067,6813.801,8343.991,3592.704,15924.255,12611.137,15510.599,23714.549,"Pfas"
"FBgn0000053",45033.447,26877.047,50165.11,33035.379,29378.523,25557.924,20570.735,1895.793,38934.028,41724.701,29954.936,35105.817,"Gart"
"FBgn0000055",193433.986,93792.104,167360.437,139051.288,133101.982,124776.831,205330.717,97251.056,278084.913,225961.474,178070.803,361614.413,"Adh"
"FBgn0000056",0,661.956,451.564,495.712,489.945,408.542,747.241,503.798,763.087,736.521,708.194,887.704,"Adhr"
"FBgn0000057",1030.722,952.956,1173.113,1207.875,1203.975,934,780.409,1359.634,1122.351,1065,670.98,1120.635,"adp"
"FBgn0000061",20,19,30.673,17,31.219,13,18.368,24.418,18.068,28.974,19.034,14.999,"al"
"FBgn0000063",103.251,111.327,136.243,121.339,127.029,121.98,58.413,137.963,65.499,59.074,79.579,62.52,"Mps1"
"FBgn0000064",42247.314,28708.283,47262.177,34537.853,39394.363,29302.291,32000.89,42120.993,40901.88,36714.098,22441.899,40701.835,"Ald1"
"FBgn0000071",19.395,28.148,23,24,19.004,20.772,19.865,172.001,44.378,29.054,46,20.001,"Ama"
"FBgn0000075",111.112,126.018,158.018,65,155.048,98,103.56,168.007,146.996,140.95,119.647,74.033,"amd"
"FBgn0000077",332,305.873,339.429,415.258,381,283.188,296.397,497.279,430,301.045,271.166,347,"amx"
"FBgn0000078",6857.724,4642.811,4344.26,10988.383,3206.259,5841.926,5781.912,301.408,12152.743,16374.96,9189.766,12947.206,"Amy-d"
"FBgn0000079",12379.185,8231.33,7334.35,13289.539,7548.741,8167.102,3903.103,314.592,8717.88,11327.04,5706.233,8260.748,"Amy-p"
"FBgn0000083",6463.728,10648.811,12999.746,8363.536,9073.768,5599.984,4756.063,9063.088,5060.09,5040.996,3858.208,4925.295,"AnxB9"
"FBgn0000084",3212.294,3474,4324.233,3728.94,3577.849,2385.983,2456.311,4876.753,2959,2675,2275,2561,"AnxB10"
"FBgn0000092",8.017,14.002,15,26.082,14.005,18.176,11.233,27.499,22.004,12,22.16,9.484,"dyw"
"FBgn0000094",1,3,0,2,0,0,1,0,3,3,10.688,1,"Anp"
"FBgn0000097",2729.383,2245.511,3055.631,3346.551,2989.197,2384.572,2318.958,3746.671,2874.392,2789.14,2126.653,2552.188,"aop"
"FBgn0000100",38172.998,29321.398,39962.024,39844,38241.417,30108.006,47295.261,29917.107,52131.006,47595.492,29085.052,45998.893,"RpLP0"
"FBgn0000108",21700.447,23727.636,34641.94,29351.09,30582.139,23028.326,10050.569,28271.614,12553.869,16274.221,10372.12,14383.808,"Appl"
"FBgn0000109",262,194.363,229.001,343,242,194.01,332,322.476,485,448,314,622,"Aprt"
