Checked,Tags,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,MS2,Group Area: brain_163_neg,Group Area: brain_68_neg,Group Area: brain_6_neg,Group Area: brain_53_neg,Group Area: brain_187_neg,Group Area: brain_60_neg,Group Area: brain_21_neg,Group Area: brain_5_neg,Group Area: CONTROL_2_neg,Group Area: GT17_cc_1_neg,Group Area: GT17_c3_1_neg,Group Area: GT17_cc6_neg,Group Area: GT17_c3_5_neg,Group Area: GT17_cc5_neg,Group Area: GT17_c3_6_neg,Group Area: GT17_cc4_neg,Group Area: GT17_c3_3_neg,Group Area: GT17_cc3_neg,Group Area: GT17_c3_2_neg,Group Area: GT17_cc2_neg,Group Area: GT17_c3_4_neg,Group Area: CONTROL_1_neg
FALSE,,,,No results,No results,No results,No results,,175.04708,0.708,7303809514,0,0,,,DDA for preferred ion,6532223029,5935995294,7303809514,6359173562,5789722594,6790216721,7053540262,6198250661,375693.4998,296136476.9,408302802.1,297017194.3,411966546.1,368131049.5,403050595.5,301920532.3,313578759.6,350190412.5,350869332.2,351283977.1,356975221.5,402055.373
FALSE,,,,No results,No results,No results,No results,,115.02594,01.09,6380383254,0,0,,,DDA for preferred ion,6380383254,408049329.6,6086812830,4940793336,4722694835,5623328960,6220394009,4356540652,169678.1913,236239907.8,323740972.6,297518350.9,367378781.3,347273075.1,367059642.1,310727668.6,236881999.1,400974979.4,283272155.1,346866550,334787961.6,166284.3788
FALSE,,N-Acetylaspartic acid,C6 H9 N O5,No results,Invalid mass,No results,No results,-5.48,175.04711,1.077,6374861574,0,1,60.1,54.1,DDA for preferred ion,6374861574,4374486476,6071318918,4928724760,4712823245,5613698104,6211209103,590260675.2,68152.70697,236077811.1,323295144.4,253523438,367428864.9,347182680.4,366869515.7,310370659.2,236485501.4,368874433.7,283105583.8,346353159.3,334620727.7,60306.18577
FALSE,,4-Oxoproline,C5 H7 N O3,No results,Invalid mass,No results,No results,-7.76,129.04159,0.982,6360405384,0,3,99.2,10,DDA for preferred ion,6360405384,393951081.5,6061540172,4924795540,4704011839,5601385803,896977875.3,588939099.5,648499.757,246218065.6,346040530.6,65472475.81,392234679.8,365697979,386784773,338971951.1,263085352.5,53945901.38,308677767.1,356209248.7,363027790.7,382502.3173
FALSE,,2'-Deoxyguanosine 5'-monophosphate (dGMP),C10 H14 N5 O7 P,Full match,Full match,Partial match,Partial match,-0.81,347.0628,0.995,3264453384,9,4,72.5,28.6,DDA for preferred ion,2559073732,2060239518,2700414857,2365714792,2823606065,2655097845,3264453384,2098480052,56339.46389,137970158.6,42837023.14,92657593.07,86928205.99,175108870.7,110458558.6,55427331.21,30441752.17,57018137.42,91121016.03,114889213.1,90468070.22,55121.85028
FALSE,,Arabinosylhypoxanthine,C10 H12 N4 O5,Full match,No results,Partial match,Full match,0.03,268.08078,1.814,2877538828,6,0,,,DDA for preferred ion,2133366012,2126799662,2627194409,2325324527,1515548253,2877538828,1844264373,1657123189,40650.46342,43801763.89,182225338.6,23455427.76,131090563.5,51008482.46,80744403.8,26033656.11,119155631.4,34652909.98,50612681.77,8356671.548,23427425.39,38132.50515
FALSE,,4-Undecylbenzenesulfonic acid,C17 H28 O3 S,Full match,No results,No results,Full match,0.31,312.17601,7.684,2411301652,1,0,,,DDA for preferred ion,2340320961,2229330429,2411301652,1822089097,2198625270,200793204.1,222705267.6,212852944,299405453.5,176890184.9,17289213.87,377511192.9,210512632.8,179532406.2,196137701.9,70147851.17,86218507.46,113688347.7,59505064.75,332962131.4,195755019.8,135402195.3
FALSE,,4-Undecylbenzenesulfonic acid,C17 H28 O3 S,Full match,No results,No results,Full match,0.38,312.17603,08.05,2402678645,1,0,,,DDA for preferred ion,4037162.27,118160566.8,176752543,227693152.6,2198625270,2201278742,2314830228,1873296030,2085965358,1757868968,2194783338,2402678645,2125625602,1244603503,1731428402,1665948208,1662616585,1493500751,1340477505,672868732.5,315155301.3,331775993.7
FALSE,,,C11 H13 N7 O2 S,Full match,No results,No match,No match,-4.28,307.08383,1.142,2134194134,2,0,,,DDA for preferred ion,431023396.9,207087153.1,62762265.9,125284097.5,399249729.8,109232685.2,169961078.2,136025274.8,70132.95428,866046317.6,1488012083,1143952761,2134194134,1318875329,1993029726,1272382233,1510545391,1475524355,1867596771,1532194612,2009331250,73413.42082
FALSE,,4-Undecylbenzenesulfonic acid,C17 H28 O3 S,Full match,No results,No results,Full match,0.66,312.17612,8.281,2125625602,1,0,,,DDA for preferred ion,23216362.31,134849710.9,138212208.9,178338456.8,16028045.38,22130166.72,184503633.3,216012394,268923495.5,262853225.8,269074488.9,191309134.7,2125625602,964796309.3,1393745694,1665948208,1662616585,1493500751,1297137558,672868732.5,1177238088,1934536721
FALSE,,,,No results,No results,No results,No results,,116.0099,0.695,1758185573,0,0,,,DDA for preferred ion,1745515643,1758185573,1524090116,1678977316,1548710809,1753453584,1593949809,1586780893,324514.3004,30161106.75,32529881.23,35410667.08,36610128.61,31050185.89,37607262.07,32632442.37,30229879.67,29787283.18,32956460.21,34430832.21,35547810.66,335279.8438
FALSE,,,,No results,No results,No results,No results,,176.03102,0.695,1677065682,0,0,,,DDA for preferred ion,1630039822,1677065682,1412817612,1579328765,1447479993,1657484624,1540960438,1537123512,345643.6437,2104285.387,1875061.024,1310304.836,3217658.414,2552351.059,2759153.501,2234586.184,3354179.339,2990051.267,2034366.506,1952241.508,1961323.898,357110.1389
FALSE,,2'-Deoxyguanosine 5'-monophosphate (dGMP),C10 H14 N5 O7 P,Full match,Full match,Partial match,Partial match,-0.78,347.06281,0.697,1669892563,9,1,72.1,28.4,DDA for preferred ion,1514763017,1499282976,1627358855,1441677467,1006410064,1519309541,1005842781,1669892563,156939.9842,94526218.39,45356687.76,33003862.89,48347106.22,35840961.32,58582100.44,29296302.65,33907647.26,16775653.26,47077345.15,59826010.85,50057533.51,167952.2375
FALSE,,,C19 H32 O3 S,Full match,No results,No results,No results,-0.57,340.20702,10.266,1560522663,0,0,,,DDA for preferred ion,82654513.96,129732794.8,261164009.5,359880522.6,357621229.4,301897397.5,335566048.2,611444215.9,784935223.4,266832138,360587596.5,337767292.7,580391100.7,8309887.124,888204086.4,321200638.5,483571557.3,1038345611,1242958025,419093375.5,1560522663,16577159.88
