Checked,Tags,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,MS2,Group Area: brain_163_pos,Group Area: brain_68_pos,Group Area: brain_6_pos,Group Area: brain_53_pos,Group Area: brain_187_pos,Group Area: brain_60_pos,Group Area: brain_21_pos,Group Area: brain_5_pos,Group Area: CONTROL_2_pos,Group Area: GT17_cc_1_pos,Group Area: GT17_c3_1_pos,Group Area: GT17_cc6_pos,Group Area: GT17_c3_5_pos,Group Area: GT17_cc5_pos,Group Area: GT17_c3_6_pos,Group Area: GT17_cc4_pos,Group Area: GT17_c3_3_pos,Group Area: GT17_cc3_pos,Group Area: GT17_c3_2_pos,Group Area: GT17_cc2_pos,Group Area: GT17_c3_4_pos,Group Area: CONTROL_1_pos
FALSE,,Υ-L-Glutamyl-L-glutamic acid,C10 H16 N2 O7,Full match,Full match,No results,Full match,-0.77,276.09554,0.915,113494363.9,4,3,99.4,100,DDA for preferred ion,20530996.83,22232303.86,20336585.85,25086303.22,9238924.135,23322301.64,12101696.18,17845894.12,91627.01807,17490447.9,64671973.75,51867169.2,47834457.79,39586583.4,32401573.63,83886241.12,71941192.99,113494363.9,89655177.47,43859028.59,41082159.2,57753.18992
FALSE,,Υ-L-Glutamyl-L-glutamic acid,C10 H16 N2 O7,Full match,Full match,No results,Full match,-0.83,276.09552,0.682,95935802.52,4,2,98.8,99.8,DDA for preferred ion,17528727.66,25415248.09,16245118.64,17545435.79,11074773.74,12592088.61,10561133.84,21832709.61,79200.56779,26684164.25,74932361.92,57235532.28,48066489.34,48380145.91,35780038.56,92037237.21,81111670.64,95935802.52,84525079.27,45928288.56,45373005.38,51659.68757
FALSE,,Υ-Aminobutyric acid (GABA),C4 H9 N O2,Full match,Full match,Full match,Full match,3.75,103.06371,0.717,196664359.1,19,1,61.4,23.5,DDA for preferred ion,188558441.7,97613355.58,129839046.3,100185081.4,112346860.3,192646989.5,196664359.1,114005877.5,265777.0657,987481.9108,1205904.319,925861.7535,1243235.27,996187.7665,1167113.552,844043.6689,1053060.099,923913.275,944960.6793,942464.9006,1025081.766,219125.2608
FALSE,,Zalcitabine,C9 H13 N3 O3,Full match,No results,No results,Full match,-0.28,211.09563,1.986,7091281.241,1,0,,,DDA for preferred ion,4240070.828,3915465.748,6242058.664,7091281.241,4340422.126,4207748.542,5467768.45,5483095.375,34939.84024,60040.12106,628226.7577,188643.5138,952366.4528,411724.692,850285.5002,112394.19,426667.6784,169814.3689,155472.1672,110760.7244,352437.9269,40832.44197
FALSE,,Zalcitabine,C9 H13 N3 O3,Full match,No results,No results,Full match,-0.16,211.09566,2.505,4097359.009,1,0,,,DDA for preferred ion,3482735.564,1590828.72,4068596.829,2936481.418,4097359.009,1857793.165,3966214.376,2781453.162,24026.39212,194471.6811,1052887.403,242234.6719,1362421.493,865654.4735,1497296.075,211314.5639,472735.8667,224019.4932,236903.6505,131688.8695,514576.1186,25770.52787
FALSE,,Xanthine,C5 H4 N4 O2,Full match,No results,Partial match,Full match,-0.4,152.03336,1.425,127781227.2,3,0,,,DDA for preferred ion,110968891.6,58843683.25,103025875.6,61484014.91,70696376.1,127781227.2,59157934.84,67158157.53,135815.1956,30874409.45,78124611.88,34195467.96,46748745.25,50907128.66,53718097.02,63875437.01,69832345.87,51649320.68,85969306.4,34652804.28,28271980.97,52997.36102
FALSE,,Xanthine,C5 H4 N4 O2,Full match,No results,Partial match,Full match,-0.45,152.03336,1.335,36446854.79,3,0,,,No MS2,2239188.185,4195829.784,36446854.79,22577797.99,4308788.292,6745152.92,23845901.91,26438652.51,78367.28363,13133658.18,31535400.64,14702884.27,20298238.39,1439038.104,3046389.659,1914492.156,2107994.589,1596789.412,3556208.813,1736660.706,1795824.465,45287.01201
FALSE,,Xanthine,C5 H4 N4 O2,Full match,No results,Partial match,Full match,-0.45,152.03336,1.805,17528630.76,3,0,,,DDA for preferred ion,15547237.39,13782144.64,12914442.81,9872998.504,9164877.901,17528630.76,6263487.79,8794613.157,36756.07668,1082496.577,3306605.154,1152342.442,2663158.31,1202469.174,1819754.115,710340.8865,2038306.15,1343622.429,1612711.03,1058250.257,770525.7384,45244.74588
FALSE,,Vinylacetylglycine,C6 H9 N O3,Full match,No results,No results,Full match,0.17,143.05827,0.523,6584208.272,5,0,,,DDA for other ion,5584317.244,6066395.4,6186959.416,5958583.503,6073051.043,5932129.516,6013079.475,5652261.538,5888416.518,5860106.105,5547056.55,5978088.316,5916821.115,6584208.272,3123414.584,5815699.524,2908337.566,5723359.404,5738819.427,5793599.804,5515334.78,4190492.177
FALSE,,Vigabatrin,C6 H11 N O2,Full match,No results,Partial match,Full match,0.24,129.07901,0.956,19414086.36,19,0,,,No MS2,12383546.24,11747489.25,14925671.57,11536026.67,19414086.36,16315955.12,13541090.73,11615137.93,5165845.896,6638059.776,7227114.323,6664260.387,349509.1739,6694430.082,7173338.185,6551211.601,6799059.894,6516022.306,6682083.375,230478.8518,7444816.305,4587597.166
