"","X071912QCCKO1","X071912QCCKO2","X071912QCCKO3","X071912QCCTC1","X071912QCCTC2","X071912QCCTC3"
"Label","KO","KO","KO","WT","WT","WT"
"xanthosine-5-phosphate","-1.22005883","-1.16581847","-1.48834098"," 0.04880532"," 0.06989270","-0.50833291"
"SBP","-0.7631312","-0.8066719","-0.6870826"," 0.2705414"," 0.3306845"," 0.2124836"
"GMP","-0.2231399","-0.2035186","-0.3927800"," 0.6067276"," 0.6369845"," 0.5352424"
"NADH","-0.52316872","-0.56291123","-0.69773666"," 0.22382556"," 0.23752215","-0.02446423"
"acetylphosphate","-1.0980239","-0.9217546","-0.9291229","-0.2263853","-0.1482718","-0.4087224"
"IMP","-0.2364950","-0.2718346","-0.4060165"," 0.4712078"," 0.4927871"," 0.3158866"
"AMP","0.9548976","0.9186169","0.7717464","1.5937074","1.7053118","1.4909600"
"fructose-1,6-bisphosphate","1.433406","1.476421","1.157531","2.146333","2.122690","1.976010"
"glutathione","0.8384016","0.8555919","0.5824838","1.4802775","1.3836795","1.4292545"
"CMP","-0.44495055","-0.39245848","-0.41825185"," 0.24036389"," 0.32674042"," 0.08760757"
"D-glyceraldehdye-3-phosphate"," 0.09674679"," 0.09505195","-0.16077057"," 0.71428148"," 0.67049618"," 0.55116458"
"dihydroxy-acetone-phosphate","0.6304887","0.6837458","0.4738746","1.2902275","1.2274329","1.1240417"
"glutathione-nega","0.5323895","0.5763157","0.4097023","1.0807027","1.0476370","1.1937182"
"inosine"," 0.002711514","-0.083948090","-0.176514752"," 0.631256068"," 0.457465205"," 0.089712058"
"Geranyl-PP","-1.1813846","-1.3243099","-1.1809204","-0.6651433","-0.7345868","-0.6994280"
"FAD","-1.4959993","-1.3417017","-1.4776359","-0.9777568","-0.8869308","-0.9661139"
"dAMP","-0.7823284","-0.8632450","-0.8644095","-0.2921822","-0.3724803","-0.4933173"
"dCMP","-1.4210577","-1.4441596","-1.4000389","-0.9294279","-0.9465769","-1.0512097"
"cytidine","-0.8829172","-0.8418820","-0.8698962","-0.3036235","-0.4126040","-0.5937634"
"S-adenosyl-L-homoCysteine-posi","-0.7429073","-0.4315101","-0.6489848","-0.1140355","-0.1655165","-0.1286425"
"CDP-choline","-1.609895","-1.607293","-1.913799","-1.289835","-1.626593","-1.279467"
"NADP+_posi","-2.682231e-03"," 8.148330e-08","-1.807000e-01"," 3.626036e-01"," 3.670478e-01"," 3.320815e-01"
"L-arginino-succinate","0.0815164","0.1589719","0.1815673","0.5960045","0.4494243","0.5769264"
"GDP-nega","-0.7231355","-0.6532804","-0.8743875","-0.2886109","-0.3811654","-0.3486086"
"NADH-nega","-1.0820500","-0.9275160","-1.2271424","-0.6588586","-0.6110624","-0.7122030"
"fumarate","0.7667608","0.8028539","0.7955354","1.2251442","1.1726585","1.1542338"
"Maleic acid","0.7953295","0.7663772","0.7743894","1.1869708","1.1574136","1.1555944"
"2-keto-isovalerate","0.7516453","0.7693443","0.8247620","1.1817168","1.1648530","1.1479145"
"NAD+_posi","0.8241155","0.8412724","0.8382146","1.1994040","1.1753147","1.2224245"
"Glycerophosphocholine","1.564217","1.643001","1.651219","1.965604","1.969126","2.014885"
"dCDP-nega","-0.9733122","-0.8042527","-1.1765340","-0.5535989","-0.6020068","-0.6519590"
"UMP","-0.40858469","-0.48887766","-0.47749375","-0.10025794","-0.00510295","-0.27102568"
"2-Isopropylmalic acid","-0.6269491","-0.5861530","-0.6955889","-0.3882336","-0.3127589","-0.2189663"
"NADP+_nega","-3.459624e-01","-3.025969e-01","-3.452712e-01","-5.467180e-04","-2.600476e-02"," 8.148330e-08"
"thiamine-phosphate","-1.465743","-1.642948","-1.546241","-1.066500","-1.314875","-1.426901"
"IDP-nega","0.3683270","0.3593863","0.2788866","0.6614636","0.6718781","0.5709086"
"NAD+_nega","0.3696944","0.3413536","0.3309245","0.6630541","0.5615492","0.6915205"
"glycerate","0.09347424","0.05727960","0.03163306","0.40255421","0.28617924","0.36233764"
"malate","1.553181","1.581092","1.602959","1.878874","1.857075","1.868824"
"Creatinine","1.174283","1.276261","1.084294","1.411053","1.496912","1.502987"
"biotin","-0.8489935","-1.0139446","-1.1373866","-0.6099867","-0.8134167","-0.7347766"
"ribose-phosphate","0.1770040","0.1861212","0.1559881","0.5442571","0.3661332","0.3909584"
"dTDP-nega","-0.9582205","-0.9041208","-0.9444733","-0.6354446","-0.6560274","-0.7516133"
"adenosine","-0.8796211","-0.7766286","-0.8176485","-0.6213924","-0.5690346","-0.5088931"
"N-carbamoyl-L-aspartate-nega","-0.16361984","-0.10906538","-0.15700715"," 0.16960776"," 0.07757254"," 0.07839142"
"2-oxobutanoate","-0.6413101","-0.6096157","-0.5247999","-0.3158727","-0.3424131","-0.3575120"
"adenosine 5-phosphosulfate","-0.7437117","-0.8027894","-0.9536129","-0.5527296","-0.5272909","-0.6398545"
"UDP-nega","0.8036051","0.8401527","0.7615356","1.1005416","1.0487186","0.9940362"
"dGDP-nega","1.374161","1.291126","1.242128","1.584690","1.570058","1.495833"
"O8P-O1P","-0.238673824","-0.185275262","-0.171138530"," 0.063544358"," 0.002200036"," 0.058128234"
"hexose-phosphate","0.9886436","0.9552407","0.8547422","1.2326399","1.0353150","1.2350345"
"ADP-nega","1.371813","1.305520","1.247767","1.579928","1.555527","1.503038"
"CDP-nega","-0.35701990","-0.29575274","-0.40024597","-0.08473302","-0.07851502","-0.19261410"
"allantoate","-0.13170020","-0.06272373","-0.07421442"," 0.17136665"," 0.14996976"," 0.10847805"
"thymine","-1.3305322","-1.1324454","-1.0162867","-0.8038495","-0.9155712","-1.0883817"
"a-ketoglutarate","0.7246187","0.7083758","0.7465690","1.0233689","0.9041913","0.9035378"
"N-Acetyl-L-alanine","1.317431","1.414702","1.363923","1.615718","1.525905","1.620340"
"sarcosine","0.9025958","0.9194167","0.8895754","1.1133962","1.1337373","1.1068206"
