"","FC","log2(FC)","p.ajusted","-log10(p)"
"Ascorbic acid",4.7896,2.2599,0.0011938,2.9231
"Maleic acid",0.40923,-1.289,0.0011938,2.9231
"NAD+_posi",0.43164,-1.2121,0.0011938,2.9231
"SBP",0.094761,-3.3996,0.0012929,2.8884
"Kynurenic acid",2.909,1.5405,0.0012929,2.8884
"purine",2.7316,1.4497,0.0012929,2.8884
"NADP+_nega",0.4763,-1.07,0.0012929,2.8884
"malate",0.51429,-0.95936,0.0012929,2.8884
"sarcosine",0.6108,-0.71123,0.0012929,2.8884
"creatine",0.68601,-0.54371,0.0012929,2.8884
"indole",3.2217,1.6878,0.0015348,2.8139
"fumarate",0.40142,-1.3168,0.0015348,2.8139
"2-keto-isovalerate",0.41495,-1.269,0.0016547,2.7813
"uracil",2.6154,1.3871,0.0028261,2.5488
"GMP",0.13795,-2.8578,0.0032559,2.4873
"lysine",2.0293,1.021,0.0032559,2.4873
"allantoin",2.3915,1.2579,0.0044385,2.3528
"Glycerophosphocholine",0.43393,-1.2045,0.0044385,2.3528
"dCMP",0.35569,-1.4913,0.0046141,2.3359
"Cellobiose",2.1396,1.0973,0.0046509,2.3325
"citrulline",1.8234,0.86663,0.0046509,2.3325
"phenylalanine",1.8214,0.86503,0.0046509,2.3325
"Geranyl-PP",0.2985,-1.7442,0.0052713,2.2781
"nicotinamide",1.6731,0.74252,0.005939,2.2263
"IMP",0.18521,-2.4327,0.0061166,2.2135
"CMP",0.22533,-2.1499,0.0071327,2.1467
"glutathione-nega",0.25103,-1.9941,0.0071327,2.1467
"tryptophan",3.7012,1.888,0.0071327,2.1467
"Phenyllactic acid",2.761,1.4652,0.0071327,2.1467
"FAD",0.32271,-1.6317,0.0072934,2.1371
"AMP",0.19196,-2.3811,0.0077336,2.1116
"O8P-O1P",0.57602,-0.79582,0.0079477,2.0998
"arginine",1.7944,0.84351,0.0081317,2.0898
"allantoate",0.58538,-0.77256,0.0081317,2.0898
"dihydroxy-acetone-phosphate",0.24299,-2.041,0.0096291,2.0164
"alanine",0.66057,-0.59821,0.0096291,2.0164
"cytosine",1.6629,0.73368,0.0096929,2.0135
"Hydroxyisocaproic acid",3.1312,1.6467,0.0097331,2.0118
"acetylphosphate",0.1872,-2.4173,0.009945,2.0024
"glycerate",0.51114,-0.96821,0.009945,2.0024
"NADH",0.17803,-2.4898,0.010002,1.9999
"glutathione",0.22008,-2.1839,0.010002,1.9999
"L-arginino-succinate",0.39561,-1.3378,0.010002,1.9999
"glucosamine",1.485,0.5705,0.010002,1.9999
"citrate",1.2554,0.32816,0.010002,1.9999
"NAD+_nega",0.5075,-0.97851,0.010033,1.9986
"N-carbamoyl-L-aspartate-nega",0.55813,-0.84132,0.010033,1.9986
"xanthine",1.7796,0.83158,0.010033,1.9986
"trehalose-sucrose",1.4939,0.57905,0.010033,1.9986
"dAMP",0.34942,-1.517,0.010202,1.9913
"IDP-nega",0.50153,-0.99559,0.010202,1.9913
"2-oxobutanoate",0.56128,-0.83321,0.010601,1.9747
"NADP+_posi",0.3913,-1.3537,0.010673,1.9717
"myo-inositol",1.8318,0.87326,0.011803,1.928
"fructose-1,6-bisphosphate",0.19451,-2.3621,0.012112,1.9168
"D-glyceraldehdye-3-phosphate",0.23732,-2.0751,0.012112,1.9168
"2-oxo-4-methylthiobutanoate",2.6564,1.4095,0.012112,1.9168
"dTDP-nega",0.55355,-0.85321,0.012112,1.9168
"UDP-nega",0.56625,-0.82048,0.012112,1.9168
"aminoimidazole carboxamide ribonucleotide",0.69747,-0.5198,0.013974,1.8547
"Phenylpropiolic acid",1.3406,0.42292,0.013974,1.8547
"Guanidoacetic acid",1.2312,0.30009,0.013974,1.8547
"N-acetyl-glucosamine-1-phosphate",0.7092,-0.49574,0.015375,1.8132
"adenosine",0.55133,-0.85901,0.015706,1.8039
"GDP-nega",0.39532,-1.3389,0.015751,1.8027
"2-Isopropylmalic acid",0.46473,-1.1055,0.01708,1.7675
"2-hydroxygluterate",0.85499,-0.22602,0.01708,1.7675
"ADP-nega",0.58075,-0.784,0.017178,1.765
"hydroxyphenylpyruvate",1.7546,0.81115,0.017561,1.7554
"xanthosine-5-phosphate",0.061827,-4.0156,0.018489,1.7331
"pyridoxine",1.6204,0.69637,0.018489,1.7331
"Taurodeoxycholic acid",2.2971,1.1998,0.018632,1.7297
"histidine",1.4137,0.49944,0.018882,1.7239
"N-Acetyl-L-alanine",0.59941,-0.73838,0.018932,1.7228
"a-ketoglutarate",0.60165,-0.73299,0.019432,1.7115
"serine",1.3976,0.48294,0.019432,1.7115
"dGDP-nega",0.56758,-0.81711,0.019452,1.711
"Xanthurenic acid",2.2117,1.1452,0.020013,1.6987
"Methylcysteine",1.3869,0.47182,0.020013,1.6987
"Atrolactic acid",2.8175,1.4944,0.020675,1.6846
"Thiamine pyrophosphate",0.66186,-0.5954,0.020675,1.6846
"S-adenosyl-L-homoCysteine-posi",0.35313,-1.5017,0.020779,1.6824
"cytidine",0.35992,-1.4743,0.020809,1.6818
"D-gluconate",1.505,0.58977,0.020809,1.6818
"Carbamoyl phosphate",0.68961,-0.53614,0.02191,1.6594
"ornithine",1.8667,0.9005,0.022051,1.6566
"CDP-nega",0.58436,-0.77508,0.022051,1.6566
"guanine",1.6147,0.69129,0.022051,1.6566
"glucose-6-phosphate",0.65917,-0.60127,0.022051,1.6566
"taurine",0.80324,-0.31609,0.022051,1.6566
"glyoxylate",1.8057,0.85256,0.023297,1.6327
"2-deoxyglucose-6-phosphate",1.8648,0.89901,0.02334,1.6319
"Creatinine",0.51649,-0.95318,0.02454,1.6101
"ribose-phosphate",0.53956,-0.89013,0.02466,1.608
"NADH-nega",0.39533,-1.3389,0.025005,1.602
