"","WT-3","WT-4","WT-5","WT-6","KO-1","KO-2","KO-5","KO-6"
"Alanine_116_3.3",4.68515425026638,4.42947931086991,4.5324587855238,4.28945344910752,5.26027005104461,5.26902871621557,4.81908751478219,4.61528181121377
"valine_144_4.30",2.33597231437055,2.33093884637296,2.43063472133803,2.09454001618264,2.97718405476827,3.00715146325552,2.61366619685902,2.50052112128158
"leucine_158_4.88",2.22327676803716,2.31711368001906,2.34570433344319,2.17314304056698,2.90734280357164,2.97137174175958,2.60372869868742,2.46376529435323
"isolucine_158_5.13",2.49131225811418,2.64270689466487,2.7857586868561,2.67649312113984,3.36849086159386,3.28918820159095,2.95834387640051,2.82362769176886
"glycine2_174_5.24_ok",4.40363088855352,4.20598924335026,4.55910566054933,4.39192203520427,4.74555765322079,4.73477430093284,4.51263244345952,4.20983181831736
"proline_142_5.45",3.6126957085897,3.20423873181927,4.18185252202904,3.41721549336336,4.62695934810161,4.38009464840249,4.20403904316907,4.08836494298416
"urea_189_5.47",-3.966329562717,-4.45004025865479,-4.43281469585598,-4.15424584984536,-4.35726592938294,-4.2574391536743,-5.10365146888565,-4.71528453357459
"serine_204_5.76",-0.119474943718539,0.208407817512888,0.148621453966509,0.145336973947449,0.188696937778187,0.126278141589596,-0.159124222254589,-0.453147687964318
"succinic_acid_247_5.88",-2.48513235475784,-2.68823700906752,-2.37822858492616,-2.53829843105673,-2.05181857079899,-2.11556892343695,-1.97369657963927,-2.1847289157541
"threonine_219_5.92",2.60103572050327,2.54678356155559,2.7479008214741,2.64107620690005,3.09699992715148,3.10362753832754,2.69032369497693,2.4253242188482
"alanine_beta_248_6.36",-3.26600407591183,-3.38842253750464,-2.93642121858165,-3.09794690478022,-2.92270085133353,-2.82058131129147,-1.91639177687871,-2.38490030154993
"fumaric_acid_245_5.98",-1.09958194091418,-1.34084418588088,-0.922104557925247,-0.934709937058003,-0.837859078937559,-1.16796345247658,-0.735304312656488,-0.97874437982753
"uracil_241_6.33",-7.44000578241124,-7.48428548578844,-7.38391820071721,-7.90957732648253,-8.50392372200811,-8.15882804545821,-7.92892280338859,-8.40856380207104
"malic_acid_233_7.13",0.248168177203796,0.247404489518644,0.52778474493045,0.31601400615746,-0.411010240529481,-0.532689573134798,0.143303870252686,0.111676740575799
"prolin-4-hydroxy_230_7.3",-3.42805792910679,-3.59510986905727,-3.26181982645591,-3.48917965455749,-2.35987896186761,-2.74182237969308,-2.75011009243513,-2.80336023163849
"threonic_acid_292_7.5",-3.68534047261551,-3.89888507489822,-3.1284891030613,-3.72815316205752,-3.452476107002,-3.35718960454356,-3.31943688944248,-3.46220990746298
"aspartic_acid_232_7.40",2.99885197692,2.87191690636505,3.50059814859793,2.96310927647024,2.71417373803009,2.85466729772181,3.41967391965607,3.20492989734162
"methionine_176_7.68",-2.66712368711426,-2.42015871883485,-2.2484805540029,-2.32690624017232,-1.13694631723123,-1.30554547422237,-2.12098375484717,-2.17208486710611
"glutamine_ok_227_7.98",-4.8861190808459,-4.4095542159012,-4.10066148571136,-4.25727358043181,-2.0067686822988,-2.59386766187617,-3.39194346761535,-3.07879017747115
"glutamic_acid_246_8.23",3.92028522848636,3.65178931850792,4.66732118739294,4.49011778339354,3.4721439330401,3.6882164275487,3.29058942639541,3.00643255525532
"pyroglutamic_acid_156_8.20",5.17104921919267,5.1107101626619,5.25141001623838,5.1956576321714,5.22765201358413,5.33884188702164,5.12281577022257,4.8016590853367
"glutaric_acid_2oxo_198_8.48",-6.06854835120025,-6.02748412319581,-6.55736301640838,-6.1451008348121,-6.18313429729895,-6.47421894157624,-6.23737899152947,-6.77070406019802
"phenylalanine_192_8.60",0.343880727920188,0.803254495856738,0.811564859035652,0.573992841961774,1.05246140106807,0.975722625882215,1.4714172292204,1.49460887277391
"asparagine_116_8.91",-3.28692519428408,-3.46568244161785,-3.11399590113766,-3.37778548478271,-1.83088476396357,-2.60551431653359,-1.88630020988068,-2.0562007112309
"ornithine2_142_9.25",-2.64415849670531,-3.1852693556407,-2.934402050945,-3.45059991401367,-3.02739119992841,-2.66908423393171,-3.63452038752735,-3.80438501108186
"citric_acids",1.05840599345542,0.365186556376725,0.833637366063255,0.556582478820952,2.17066206335168,1.92027144289912,1.8211366097916,1.76093423622025
"Isocitric_acid",-3.49727182795901,-0.633720035469969,-0.312778003928497,-0.360760753661354,0.700671536889972,0.805737670773931,0.795524750931189,1.05630196890774
"lysine_156_9.99",0.11033303151893,-0.243680939225347,-0.165709068308035,-0.161635434530963,-0.420252955469203,-0.138400746364439,-0.25662729942653,-0.121052278911411
"insitol._myo_305_10.62",1.10753011047501,0.609121254422361,1.43202347204678,0.987652202866766,2.42799683334632,2.27913096328581,2.10911325450824,1.94549246339592
"tyrosine_218",1.74008946313722,1.85684746135118,1.94570685083486,1.82854067075188,3.0240187922028,2.86848969039457,2.55974155572707,2.41413900308695
"histidine_154_11.00",-6.26243602493095,-6.97300088297366,-6.65213065828195,-6.35626448099753,-5.11635669878275,-5.93234084924471,-6.24948830419419,-6.54271811115006
"tryptophan_202_12.84",-0.735304037415991,-0.73817197659243,-0.514853405571333,-0.686484815585727,-0.217144985668545,-0.163926568853453,-0.41887854265768,-0.590318716888884
"adenosine-5-monophosphate_3e_5",1.0553714270085,0.983542747092613,1.46135371426856,1.16225639953349,1.50280762133966,1.49847185778332,1.35851285130858,1.32776757190537
"cholesterol_129_18.01",-9.9923468615632,-10.1337367129613,-10.5192949755749,-9.32328331201583,-10.6953497926613,-7.56391588432945,-10.4528743085342,-5.45176279811496
