gene_id	gene_name	S6_F_DMSO_REP1	S6_F_DMSO_REP2	S6_F_DMSO_REP3	S6_F_TDO2_REP1	S6_F_TDO2_REP2	S6_F_TDO2_REP3	S6_M_DMSO_REP1	S6_M_DMSO_REP2	S6_M_DMSO_REP3	S6_M_TDO2_REP1	S6_M_TDO2_REP2	S6_M_TDO2_REP3	WT_F_DMSO_REP1	WT_F_DMSO_REP2	WT_F_DMSO_REP3	WT_F_TDO2_REP1	WT_F_TDO2_REP2	WT_F_TDO2_REP3	WT_M_DMSO_REP1	WT_M_DMSO_REP2	WT_M_DMSO_REP3	WT_M_TDO2_REP1	WT_M_TDO2_REP2	WT_M_TDO2_REP3
FBgn0000003	7SLRNA:CR32864	462866.957	391549.552	444239.326	558239.572	539980.5	372060.686	84792.683	110525.879	135986.436	231672.581	262506.123	393470.883	490438.85	602258.097	560945.449	594994.54	467332.802	369520.446	233981.541	179294.122	318009.479	397812.857	303965.179	258928.476
FBgn0000008	a	2308.684	1682.821	2667.496	2287.047	2362.48	1786.446	435.931	576.44	568.258	2190.984	2403.229	1913.132	1536.569	3434.19	1907.584	1671.72	1715.403	1530.401	2213.834	2207.91	1804.371	1859.53	2873.751	1850.202
FBgn0000014	abd-A	53.081	131.491	96.136	57.247	83.647	125.767	33.97	62.061	195.455	58.869	189.608	130.505	68.966	136.092	182.677	118.398	52.059	103.696	89.485	90.214	43.091	60.244	29.41	31.576
FBgn0000015	Abd-B	729.811	715.815	1146.175	713.817	827.152	810.475	363.675	579.299	599.478	1098.049	612.062	600.306	809.886	844.677	1036.794	551.364	576.631	727.515	719.759	1051.971	525.092	867.446	781.808	760.997
FBgn0000017	Abl	5458.454	4849.032	6874.185	6880.048	6491.262	4973.146	1772.064	2736.409	2522.49	8779.701	9638.332	7710.165	3684.338	9950.155	4391.06	5208.849	3755.044	4208.084	8369.213	8095.613	8692.164	7157.718	9658.644	7626.013
FBgn0000018	abo	219.464	230	304.784	267.999	243.655	217.155	77.005	130.831	91.992	219.839	210.074	237.135	128.994	335.004	294.995	193.799	239.29	233.796	283.141	321.769	344	278.996	226.993	223.103
FBgn0000022	ac	3	2	3.172	6.212	5	2	1.008	5	10	1.001	6.357	5.891	1.884	5.308	2.993	3	5.55	5	10.942	6.015	4.211	4.016	4.296	1.073
FBgn0000024	Ace	9869.433	8191.55	11879.421	12145.937	12070.923	9104.244	2658.971	4817.934	4620.843	17279.239	16305.883	14561.64	5747.696	19558.831	7645.888	8283.176	7229.536	8362.845	17506.958	21159.834	18175.358	13362.886	13149.673	14761.971
FBgn0000028	acj6	353.387	309.205	520.001	484.104	524.209	353.156	83.882	152.274	139.877	537.269	591.18	482.997	231.171	735.104	316.186	443.435	307.037	340.643	494.976	632.205	713.565	383.357	491.834	504.901
FBgn0000032	Acph-1	431.338	393.894	497	572.883	469.985	352	92.892	179.345	135.056	397.389	442.034	434	504.976	673.396	671	512.168	373.01	571.962	539.095	569.894	519.024	446.393	393.301	378.202
FBgn0000036	nAChRalpha1	2505.634	2107.763	3457.466	3336.723	3349.418	2987	881.069	1314.327	1354.59	5436.455	5661.902	4871.896	1220.993	4056.206	1566.635	2443.884	1444.297	2069.258	3602.701	5280.573	5604.585	2709.78	4848.696	4844.308
FBgn0000037	mAChR-A	2317.177	2250.051	3045.566	2868.977	2888.432	1956.907	602.039	967.055	1062.551	3429.549	3898.97	3186.451	1529.188	4911.431	2223.176	2376.932	1840.291	1972.385	3532.512	3950.253	4206.607	3124.409	3752.147	3346.869
FBgn0000038	nAChRbeta1	2024.294	1784.978	2709.985	2613	2557.716	2129	583	901.462	902.34	3727	4004.91	3670.028	1278.992	3409.8	1603.092	1954.742	1235.003	1571.743	3082.876	3514.029	3835.997	2552.796	2826.298	3341.882
FBgn0000039	nAChRalpha2	551.973	624.737	716.026	711	646.966	587.124	203.954	330.9	298.481	839.341	1072.599	827.997	436.982	1356.223	623.999	609.98	515.999	536.431	1076	939.032	1142.118	935.564	1027.622	914.543
FBgn0000042	Act5C	29360.683	46455.39	58455.825	38267.003	37392.744	28334.708	11861.761	19294.45	15277.176	52292.928	49459.463	41786.658	15476.749	40758.171	19308.444	21118.862	17239.334	18520.057	31996.5	31779.515	29909.816	28159.271	38016.13	28783.668
FBgn0000043	Act42A	650.345	732.738	822.104	899.352	817.904	541.615	351.825	593.377	357.467	1156.143	903.15	831.002	469.075	2281.378	667.131	554.54	679.184	651.553	853.138	963.125	807.305	726.515	707.025	604.386
FBgn0000044	Act57B	9911.538	7371.179	12980.598	8018.102	9930.773	9473.621	1515.376	2275.299	2137.086	12427.298	12565.656	13210.428	10277.531	16840.024	10880.894	16532.469	11211.255	9306.426	18735.093	16279.957	15332.216	18054.426	17925.107	10616.959
