"","X071912QCCKO1","X071912QCCKO2","X071912QCCKO3","X071912QCCTC1","X071912QCCTC2","X071912QCCTC3"
"Label","KO","KO","KO","WT","WT","WT"
"xanthosine-5-phosphate"," 41932.59"," 48146.91"," 20706.12","654910.94","665541.13","158945.50"
"SBP"," 120087.8"," 110085.3"," 131048.6","1091235.3","1213295.9"," 835729.2"
"GMP"," 416382.9"," 441454.2"," 258069.3","2366489.3","2456217.1","1757213.0"
"NADH","208671.6","192971.0","127872.8","979946.9","979048.9","484303.6"
"acetylphosphate"," 55538.77"," 84458.65"," 75056.47","347529.36","402726.55","199921.30"
"IMP"," 403773.4"," 377198.1"," 250322.5","1732147.3","1762257.5","1060397.3"
"AMP"," 6273799"," 5848187"," 3769322","22965948","28747098","15868725"
"fructose-1,6-bisphosphate","18881609","21126399"," 9163215","81980390","75157552","48483286"
"glutathione"," 4797716"," 5058204"," 2437815","17687013","13707611","13766911"
"CMP"," 249851.4"," 285723.1"," 243368.6","1017983.8","1202327.2"," 626887.4"
"D-glyceraldehdye-3-phosphate"," 869720.5"," 877922.7"," 440297.4","3031506.2","2653251.6","1822831.7"
"dihydroxy-acetone-phosphate"," 2972499"," 3405259"," 1898416","11418381"," 9565664"," 6817478"
"glutathione-nega","2371497","2659011","1637643","7048223","6322942","8003873"
"inosine"," 700397.2"," 581374.8"," 424621.5","2503992.7","1624603.7"," 629932.5"
"Geranyl-PP"," 45838.41"," 33423.98"," 42031.77","126541.19","104398.22","102365.10"
"FAD","22210.26","32111.70","21223.04","61604.56","73510.03","55393.80"
"dAMP","114895.12"," 96639.59"," 87117.03","298671.95","240326.43","164537.12"
"dCMP","26394.81","25361.90","25376.20","68856.22","64076.53","45536.75"
"cytidine"," 91140.41","101512.24"," 86023.33","290906.32","219117.81","130562.17"
"S-adenosyl-L-homoCysteine-posi","125812.3","261152.2","143064.0","450133.5","387048.6","381012.6"
"CDP-choline","17084.500","17417.165"," 7765.505","30026.934","13382.700","26920.675"
"NADP+_posi"," 691752.4"," 705349.5"," 420549.1","1348902.4","1319259.1","1100686.2"
"L-arginino-succinate"," 839748.6","1017129.4"," 968465.5","2308774.6","1594801.3","1934231.1"
"GDP-nega","131672.53","156719.25"," 85138.27","301138.18","235568.06","229600.59"
"NADH-nega"," 57619.71"," 83345.58"," 37787.77","128385.72","138745.37"," 99397.81"
"fumarate","4068120","4479796","3981551","9829268","8432197","7308291"
"Maleic acid","4344726","4118903","3792331","9002183","8141338","7331222"
"2-keto-isovalerate","3928966","4147140","4258718","8893932","8282000","7202719"
"NAD+_posi","4642463","4894144","4392700","9263625","8483928","8550795"
"Glycerophosphocholine","25518189","31003151","28558517","54073069","52772546","53023372"
"dCDP-nega"," 74013.94","110700.19"," 42458.48","163597.65","141668.79","114188.25"
"UMP","271673.8","228836.8","212335.4","464642.5","559988.6","274508.7"
"2-Isopropylmalic acid","164317.0","182915.3","128506.8","239410.3","275754.8","309467.8"
"NADP+_nega","313812.5","351404.4","287902.4","584561.5","533675.7","512368.0"
"thiamine-phosphate","23813.37","16043.51","18120.69","50218.75","27439.28","19170.03"
"IDP-nega","1625399","1613580","1211723","2684359","2661708","1907615"
"NAD+_nega","1630525","1547954","1365971","2694208","2064579","2518271"
"glycerate"," 863191.5"," 804792.5"," 685724.9","1478874.1","1095119.4","1180102.2"
"malate","24877920","26884163","25554974","44284374","40771550","37879631"
"Creatinine","10397188","13324933"," 7741238","15080981","17790736","16314329"
"biotin"," 98545.19"," 68304.78"," 46463.82","143677.55"," 87068.71"," 94363.27"
"ribose-phosphate","1046253.6","1082743.5"," 913071.9","2049434.9","1316483.5","1260492.8"
"dTDP-nega"," 76631.22"," 87958.61"," 72449.82","135497.37","125098.81"," 90774.96"
"adenosine"," 91834.77","117970.35"," 97020.81","139953.31","152843.34","158740.61"
"N-carbamoyl-L-aspartate-nega","477543.5","548704.9","444129.5","864937.5","677414.9","613724.4"
"2-oxobutanoate","158972.2","173295.5","190421.6","282816.0","257554.3","224941.5"
"adenosine 5-phosphosulfate","125579.51","111073.82"," 70941.02","163925.43","168263.70","117415.63"
"UDP-nega","4428310","4881543","3681735","7377659","6338710","5053802"
"dGDP-nega","16473799","13788915","11133845","22493996","21054284","16047775"
"O8P-O1P","401752.8","460393.2","429910.6","677518.7","569484.9","585747.1"
"hexose-phosphate"," 6780732"," 6362753"," 4563091","10000390"," 6146066"," 8802712"
"ADP-nega","16384976","14253596","11279348","22248729","20361488","16316223"
"CDP-nega","305923.4","356986.1","253670.8","481552.7","472897.6","328827.2"
"allantoate","513963.9","610492.8","537405.8","868447.6","800298.4","657748.7"
"thymine","32513.47","51992.90","61407.50","91944.17","68818.56","41801.13"
"a-ketoglutarate","3691915","3603962","3557017","6176549","4544368","4103173"
"N-Acetyl-L-alanine","14456541","18327615","14738042","24159883","19018999","21375771"
"sarcosine","5561971","5858968","4944158","7599294","7709382","6552433"
"5-methyl-THF","10870.351","18638.704"," 6762.195","15036.313","14909.776","17601.058"
"spermidine","186802.5","144752.0","169491.7","167571.8","305740.6","182894.1"
"N-carbamoyl-L-aspartate","63606.56","74110.95","46560.19","87541.64","78689.89","71961.94"
"OBP"," 63369.40","109212.41"," 82470.31","110563.83","113598.85","102615.52"
"acetyl-CoA-posi","12114.52","21121.56","25160.68","34479.54","20499.31","19258.64"
"dTMP-nega","24597.86","43303.83","28920.12","14051.83","60797.35","47910.58"
"UDP-D-glucose","2376700","2175382","2485046","3415461","2563734","2853744"
"fructose-6-phosphate","610391.5","502548.0","384207.8","793417.9","566607.4","518486.7"
